Legal Description,Legal Description Link,Address
M23-252,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00230252&Close=True,100 HERITAGE POINTE RD CHARLOTTE NC 28262128 NORTHBEND DR A CHARLOTTE NC 28262136 NORTHBEND DR M CHARLOTTE NC 28262136 NORTHBEND DR L CHARLOTTE NC 28262136 NORTHBEND DR K CHARLOTTE NC 28262136 NORTHBEND DR B CHARLOTTE NC 28262132 NORTHBEND DR A CHARLOTTE NC 28262132 NORTHBEND DR B CHARLOTTE NC 28262124 NORTHBEND DR H CHARLOTTE NC 28262132 NORTHBEND DR C CHARLOTTE NC 28262132 NORTHBEND DR D CHARLOTTE NC 28262136 NORTHBEND DR A CHARLOTTE NC 28262132 NORTHBEND DR M CHARLOTTE NC 28262132 NORTHBEND DR L CHARLOTTE NC 28262132 NORTHBEND DR K CHARLOTTE NC 28262132 NORTHBEND DR J CHARLOTTE NC 28262132 NORTHBEND DR H CHARLOTTE NC 28262128 NORTHBEND DR B CHARLOTTE NC 28262128 NORTHBEND DR C CHARLOTTE NC 28262128 NORTHBEND DR D CHARLOTTE NC 28262128 NORTHBEND DR E CHARLOTTE NC 28262128 NORTHBEND DR F CHARLOTTE NC 28262128 NORTHBEND DR G CHARLOTTE NC 28262124 NORTHBEND DR F CHARLOTTE NC 28262124 NORTHBEND DR E CHARLOTTE NC 28262128 NORTHBEND DR M CHARLOTTE NC 28262124 NORTHBEND DR D CHARLOTTE NC 28262124 NORTHBEND DR C CHARLOTTE NC 28262124 NORTHBEND DR B CHARLOTTE NC 28262132 NORTHBEND DR E CHARLOTTE NC 28262128 NORTHBEND DR K CHARLOTTE NC 28262128 NORTHBEND DR H CHARLOTTE NC 28262128 NORTHBEND DR J CHARLOTTE NC 28262132 NORTHBEND DR F CHARLOTTE NC 28262128 NORTHBEND DR L CHARLOTTE NC 28262132 NORTHBEND DR G CHARLOTTE NC 28262124 NORTHBEND DR G CHARLOTTE NC 28262136 NORTHBEND DR J CHARLOTTE NC 28262136 NORTHBEND DR H CHARLOTTE NC 28262136 NORTHBEND DR G CHARLOTTE NC 28262136 NORTHBEND DR F CHARLOTTE NC 28262136 NORTHBEND DR E CHARLOTTE NC 28262136 NORTHBEND DR D CHARLOTTE NC 28262136 NORTHBEND DR C CHARLOTTE NC 28262136 NORTHBEND DR I CHARLOTTE NC 28262100 HERITAGE POINTE RD 119D CHARLOTTE NC 28262100 HERITAGE POINTE RD 229K CHARLOTTE NC 28262100 HERITAGE POINTE RD 119J CHARLOTTE NC 28262112 NORTHBEND DR CHARLOTTE NC 28262120 NORTHBEND DR CHARLOTTE NC 28262132 NORTHBEND DR CHARLOTTE NC 28262136 NORTHBEND DR CHARLOTTE NC 28262104 NORTHBEND DR CHARLOTTE NC 28262124 NORTHBEND DR CHARLOTTE NC 28262108 NORTHBEND DR CHARLOTTE NC 28262100 NORTHBEND DR CHARLOTTE NC 28262116 NORTHBEND DR CHARLOTTE NC 28262128 NORTHBEND DR CHARLOTTE NC 28262108 NORTHBEND DR D CHARLOTTE NC 28262108 NORTHBEND DR F CHARLOTTE NC 28262108 NORTHBEND DR G CHARLOTTE NC 28262108 NORTHBEND DR H CHARLOTTE NC 28262108 NORTHBEND DR K CHARLOTTE NC 28262108 NORTHBEND DR L CHARLOTTE NC 28262112 NORTHBEND DR H CHARLOTTE NC 28262116 NORTHBEND DR L CHARLOTTE NC 28262116 NORTHBEND DR M CHARLOTTE NC 28262120 NORTHBEND DR A CHARLOTTE NC 28262120 NORTHBEND DR B CHARLOTTE NC 28262116 NORTHBEND DR B CHARLOTTE NC 28262108 NORTHBEND DR M CHARLOTTE NC 28262108 NORTHBEND DR J CHARLOTTE NC 28262112 NORTHBEND DR A CHARLOTTE NC 28262112 NORTHBEND DR B CHARLOTTE NC 28262112 NORTHBEND DR C CHARLOTTE NC 28262112 NORTHBEND DR G CHARLOTTE NC 28262112 NORTHBEND DR F CHARLOTTE NC 28262112 NORTHBEND DR E CHARLOTTE NC 28262112 NORTHBEND DR D CHARLOTTE NC 28262112 NORTHBEND DR J CHARLOTTE NC 28262116 NORTHBEND DR K CHARLOTTE NC 28262108 NORTHBEND DR B CHARLOTTE NC 28262108 NORTHBEND DR C CHARLOTTE NC 28262108 NORTHBEND DR E CHARLOTTE NC 28262116 NORTHBEND DR C CHARLOTTE NC 28262116 NORTHBEND DR D CHARLOTTE NC 28262116 NORTHBEND DR E CHARLOTTE NC 28262116 NORTHBEND DR F CHARLOTTE NC 28262120 NORTHBEND DR K CHARLOTTE NC 28262120 NORTHBEND DR J CHARLOTTE NC 28262120 NORTHBEND DR H CHARLOTTE NC 28262100 NORTHBEND DR C CHARLOTTE NC 28262100 NORTHBEND DR D CHARLOTTE NC 28262100 NORTHBEND DR E CHARLOTTE NC 28262100 NORTHBEND DR F CHARLOTTE NC 28262100 NORTHBEND DR G CHARLOTTE NC 28262120 NORTHBEND DR G CHARLOTTE NC 28262120 NORTHBEND DR E CHARLOTTE NC 28262120 NORTHBEND DR D CHARLOTTE NC 28262116 NORTHBEND DR J CHARLOTTE NC 28262120 NORTHBEND DR C CHARLOTTE NC 28262116 NORTHBEND DR G CHARLOTTE NC 28262116 NORTHBEND DR H CHARLOTTE NC 28262100 NORTHBEND DR H CHARLOTTE NC 28262104 NORTHBEND DR A CHARLOTTE NC 28262104 NORTHBEND DR K CHARLOTTE NC 28262104 NORTHBEND DR L CHARLOTTE NC 28262104 NORTHBEND DR M CHARLOTTE NC 28262104 NORTHBEND DR B CHARLOTTE NC 28262104 NORTHBEND DR C CHARLOTTE NC 28262104 NORTHBEND DR D CHARLOTTE NC 28262104 NORTHBEND DR E CHARLOTTE NC 28262100 NORTHBEND DR A CHARLOTTE NC 28262112 NORTHBEND DR K CHARLOTTE NC 28262120 NORTHBEND DR M CHARLOTTE NC 28262124 NORTHBEND DR A CHARLOTTE NC 28262120 NORTHBEND DR F CHARLOTTE NC 28262112 NORTHBEND DR M CHARLOTTE NC 28262116 NORTHBEND DR A CHARLOTTE NC 28262112 NORTHBEND DR L CHARLOTTE NC 28262104 NORTHBEND DR F CHARLOTTE NC 28262104 NORTHBEND DR G CHARLOTTE NC 28262104 NORTHBEND DR H CHARLOTTE NC 28262104 NORTHBEND DR J CHARLOTTE NC 28262108 NORTHBEND DR A CHARLOTTE NC 28262100 NORTHBEND DR B CHARLOTTE NC 28262120 NORTHBEND DR L CHARLOTTE NC 28262100 HERITAGE POINTE RD CHARLOTTE NC 28262200 NORTHBEND DR A CHARLOTTE NC 28262204 NORTHBEND DR G CHARLOTTE NC 28262208 NORTHBEND DR C CHARLOTTE NC 28262212 NORTHBEND DR E CHARLOTTE NC 28262212 NORTHBEND DR F CHARLOTTE NC 28262208 NORTHBEND DR E CHARLOTTE NC 28262208 NORTHBEND DR D CHARLOTTE NC 28262204 NORTHBEND DR H CHARLOTTE NC 28262212 NORTHBEND DR C CHARLOTTE NC 28262212 NORTHBEND DR D CHARLOTTE NC 28262200 NORTHBEND DR F CHARLOTTE NC 28262212 NORTHBEND DR A CHARLOTTE NC 28262212 NORTHBEND DR H CHARLOTTE NC 28262212 NORTHBEND DR B CHARLOTTE NC 28262204 NORTHBEND DR A CHARLOTTE NC 28262204 NORTHBEND DR B CHARLOTTE NC 28262204 NORTHBEND DR C CHARLOTTE NC 28262200 NORTHBEND DR G CHARLOTTE NC 28262204 NORTHBEND DR D CHARLOTTE NC 28262204 NORTHBEND DR E CHARLOTTE NC 28262200 NORTHBEND DR H CHARLOTTE NC 28262208 NORTHBEND DR B CHARLOTTE NC 28262208 NORTHBEND DR F CHARLOTTE NC 28262212 NORTHBEND DR G CHARLOTTE NC 28262208 NORTHBEND DR A CHARLOTTE NC 28262208 NORTHBEND DR G CHARLOTTE NC 28262208 NORTHBEND DR H CHARLOTTE NC 28262200 NORTHBEND DR E CHARLOTTE NC 28262200 NORTHBEND DR B CHARLOTTE NC 28262200 NORTHBEND DR C CHARLOTTE NC 28262204 NORTHBEND DR F CHARLOTTE NC 28262200 NORTHBEND DR D CHARLOTTE NC 28262200 NORTHBEND DR CHARLOTTE NC 28262212 NORTHBEND DR CHARLOTTE NC 28262208 NORTHBEND DR CHARLOTTE NC 28262204 NORTHBEND DR CHARLOTTE NC 28262
L4 B3B M230-129,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=02300129&Close=True,100 HERMITAGE RD CHARLOTTE NC 28207
L13-15 B A M7-725,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00070725&Close=True,100 HERRING ST HUNTERSVILLE NC 28078
L1 B1 M8-131,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00080131&Close=True,100 HIGHLAND FOREST DR CHARLOTTE NC 28270
L1 M7-799,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00070799&Close=True,100 HILLANDALE DR CHARLOTTE NC 28270
N/A,N/A,Failed to retrieve address
L8 M34-460,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=34&pg=460&type=BkPg,100 HILLSIDE DR DAVIDSON NC 28036
N/A,N/A,Failed to retrieve address
L43 M4-307,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00040307&Close=True,110 HOLBROOK ST HUNTERSVILLE NC 28078
N/A,N/A,100 HOLLY LN CHARLOTTE NC 28270
P1 & 2 BB M3-290,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00030290&Close=True,100 HOOVER ST CHARLOTTE NC 28208
M1108-551,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Deed&Instrument=11080551&Close=True,100 HUNTERS RD HUNTERSVILLE NC 280781300 HUNTERS RD HUNTERSVILLE NC 280781000 HUNTERS RD HUNTERSVILLE NC 280781100 HUNTERS RD HUNTERSVILLE NC 280781200 HUNTERS RD HUNTERSVILLE NC 280781500 HUNTERS RD HUNTERSVILLE NC 28078100 HUNTERS RD HUNTERSVILLE NC 280781400 HUNTERS RD HUNTERSVILLE NC 28078400 HUNTERS RD 401 HUNTERSVILLE NC 28078400 HUNTERS RD 408 HUNTERSVILLE NC 28078400 HUNTERS RD 403 HUNTERSVILLE NC 28078400 HUNTERS RD 402 HUNTERSVILLE NC 28078400 HUNTERS RD 411 HUNTERSVILLE NC 28078400 HUNTERS RD 410 HUNTERSVILLE NC 28078400 HUNTERS RD 407 HUNTERSVILLE NC 28078400 HUNTERS RD 413 HUNTERSVILLE NC 28078400 HUNTERS RD 412 HUNTERSVILLE NC 28078400 HUNTERS RD 404 HUNTERSVILLE NC 28078400 HUNTERS RD 409 HUNTERSVILLE NC 28078400 HUNTERS RD 405 HUNTERSVILLE NC 28078400 HUNTERS RD 406 HUNTERSVILLE NC 28078400 HUNTERS RD 414 HUNTERSVILLE NC 280781000 HUNTERS RD 1008 HUNTERSVILLE NC 280781300 HUNTERS RD 1305 HUNTERSVILLE NC 280781300 HUNTERS RD 1304 HUNTERSVILLE NC 280781300 HUNTERS RD 1303 HUNTERSVILLE NC 280781300 HUNTERS RD 1302 HUNTERSVILLE NC 280781300 HUNTERS RD 1301 HUNTERSVILLE NC 280781200 HUNTERS RD 1214 HUNTERSVILLE NC 280781200 HUNTERS RD 1213 HUNTERSVILLE NC 280781200 HUNTERS RD 1212 HUNTERSVILLE NC 280781200 HUNTERS RD 1211 HUNTERSVILLE NC 280781200 HUNTERS RD 1210 HUNTERSVILLE NC 280781200 HUNTERS RD 1209 HUNTERSVILLE NC 280781000 HUNTERS RD 1001 HUNTERSVILLE NC 280781000 HUNTERS RD 1002 HUNTERSVILLE NC 280781000 HUNTERS RD 1003 HUNTERSVILLE NC 280781000 HUNTERS RD 1004 HUNTERSVILLE NC 280781000 HUNTERS RD 1005 HUNTERSVILLE NC 280781000 HUNTERS RD 1006 HUNTERSVILLE NC 280781000 HUNTERS RD 1007 HUNTERSVILLE NC 280781100 HUNTERS RD 1101 HUNTERSVILLE NC 280781100 HUNTERS RD 1102 HUNTERSVILLE NC 280781100 HUNTERS RD 1103 HUNTERSVILLE NC 280781100 HUNTERS RD 1104 HUNTERSVILLE NC 280781100 HUNTERS RD 1105 HUNTERSVILLE NC 280781100 HUNTERS RD 1106 HUNTERSVILLE NC 280781100 HUNTERS RD 1107 HUNTERSVILLE NC 280781100 HUNTERS RD 1108 HUNTERSVILLE NC 280781100 HUNTERS RD 1109 HUNTERSVILLE NC 280781100 HUNTERS RD 1110 HUNTERSVILLE NC 280781200 HUNTERS RD 1201 HUNTERSVILLE NC 280781200 HUNTERS RD 1202 HUNTERSVILLE NC 280781200 HUNTERS RD 1203 HUNTERSVILLE NC 280781200 HUNTERS RD 1204 HUNTERSVILLE NC 280781200 HUNTERS RD 1205 HUNTERSVILLE NC 280781200 HUNTERS RD 1206 HUNTERSVILLE NC 280781200 HUNTERS RD 1207 HUNTERSVILLE NC 28078500 HUNTERS RD 502 HUNTERSVILLE NC 28078500 HUNTERS RD 509 HUNTERSVILLE NC 28078500 HUNTERS RD 510 HUNTERSVILLE NC 28078500 HUNTERS RD 505 HUNTERSVILLE NC 28078500 HUNTERS RD 506 HUNTERSVILLE NC 28078500 HUNTERS RD 507 HUNTERSVILLE NC 28078500 HUNTERS RD 508 HUNTERSVILLE NC 28078500 HUNTERS RD 501 HUNTERSVILLE NC 28078500 HUNTERS RD 503 HUNTERSVILLE NC 28078500 HUNTERS RD 504 HUNTERSVILLE NC 28078100 HUNTERS RD 119 HUNTERSVILLE NC 28078100 HUNTERS RD 120 HUNTERSVILLE NC 28078100 HUNTERS RD 116 HUNTERSVILLE NC 28078100 HUNTERS RD 117 HUNTERSVILLE NC 28078100 HUNTERS RD 118 HUNTERSVILLE NC 28078100 HUNTERS RD 113 HUNTERSVILLE NC 28078100 HUNTERS RD 114 HUNTERSVILLE NC 28078100 HUNTERS RD 115 HUNTERSVILLE NC 28078600 HUNTERS RD 610 HUNTERSVILLE NC 28078600 HUNTERS RD 609 HUNTERSVILLE NC 28078600 HUNTERS RD 608 HUNTERSVILLE NC 28078600 HUNTERS RD 607 HUNTERSVILLE NC 28078600 HUNTERS RD 606 HUNTERSVILLE NC 28078600 HUNTERS RD 605 HUNTERSVILLE NC 28078600 HUNTERS RD 604 HUNTERSVILLE NC 28078600 HUNTERS RD 603 HUNTERSVILLE NC 28078600 HUNTERS RD 602 HUNTERSVILLE NC 28078600 HUNTERS RD 601 HUNTERSVILLE NC 28078600 HUNTERS RD 614 HUNTERSVILLE NC 28078600 HUNTERS RD 613 HUNTERSVILLE NC 28078600 HUNTERS RD 612 HUNTERSVILLE NC 28078600 HUNTERS RD 611 HUNTERSVILLE NC 28078700 HUNTERS RD 703 HUNTERSVILLE NC 28078700 HUNTERS RD 707 HUNTERSVILLE NC 28078700 HUNTERS RD 708 HUNTERSVILLE NC 28078700 HUNTERS RD 701 HUNTERSVILLE NC 28078700 HUNTERS RD 702 HUNTERSVILLE NC 28078700 HUNTERS RD 710 HUNTERSVILLE NC 28078700 HUNTERS RD 705 HUNTERSVILLE NC 28078700 HUNTERS RD 706 HUNTERSVILLE NC 28078700 HUNTERS RD 709 HUNTERSVILLE NC 28078700 HUNTERS RD 704 HUNTERSVILLE NC 28078200 HUNTERS RD 209 HUNTERSVILLE NC 28078200 HUNTERS RD 208 HUNTERSVILLE NC 28078200 HUNTERS RD 207 HUNTERSVILLE NC 28078200 HUNTERS RD 206 HUNTERSVILLE NC 28078200 HUNTERS RD 210 HUNTERSVILLE NC 28078200 HUNTERS RD 202 HUNTERSVILLE NC 28078200 HUNTERS RD 203 HUNTERSVILLE NC 28078200 HUNTERS RD 204 HUNTERSVILLE NC 28078200 HUNTERS RD 205 HUNTERSVILLE NC 28078200 HUNTERS RD 201 HUNTERSVILLE NC 28078900 HUNTERS RD 902 HUNTERSVILLE NC 28078900 HUNTERS RD 901 HUNTERSVILLE NC 28078400 HUNTERS RD HUNTERSVILLE NC 280781600 HUNTERS RD HUNTERSVILLE NC 280781200 HUNTERS RD 1208 HUNTERSVILLE NC 280781500 HUNTERS RD 1501 HUNTERSVILLE NC 280781300 HUNTERS RD 1310 HUNTERSVILLE NC 280781300 HUNTERS RD 1308 HUNTERSVILLE NC 280781300 HUNTERS RD 1309 HUNTERSVILLE NC 280781500 HUNTERS RD 1502 HUNTERSVILLE NC 280781500 HUNTERS RD 1506 HUNTERSVILLE NC 280781300 HUNTERS RD 1307 HUNTERSVILLE NC 280781300 HUNTERS RD 1306 HUNTERSVILLE NC 280781600 HUNTERS RD 1608 HUNTERSVILLE NC 280781600 HUNTERS RD 1607 HUNTERSVILLE NC 280781600 HUNTERS RD 1606 HUNTERSVILLE NC 280781600 HUNTERS RD 1605 HUNTERSVILLE NC 280781600 HUNTERS RD 1604 HUNTERSVILLE NC 280781500 HUNTERS RD 1504 HUNTERSVILLE NC 280781500 HUNTERS RD 1514 HUNTERSVILLE NC 280781500 HUNTERS RD 1505 HUNTERSVILLE NC 280781500 HUNTERS RD 1509 HUNTERSVILLE NC 280781500 HUNTERS RD 1508 HUNTERSVILLE NC 280781600 HUNTERS RD 1603 HUNTERSVILLE NC 280781500 HUNTERS RD 1507 HUNTERSVILLE NC 280781500 HUNTERS RD 1511 HUNTERSVILLE NC 280781500 HUNTERS RD 1513 HUNTERSVILLE NC 280781500 HUNTERS RD 1512 HUNTERSVILLE NC 280781600 HUNTERS RD 1602 HUNTERSVILLE NC 280781600 HUNTERS RD 1601 HUNTERSVILLE NC 280781500 HUNTERS RD 1510 HUNTERSVILLE NC 280781500 HUNTERS RD 1503 HUNTERSVILLE NC 28078500 HUNTERS RD HUNTERSVILLE NC 28078800 HUNTERS RD 803 HUNTERSVILLE NC 28078800 HUNTERS RD 807 HUNTERSVILLE NC 28078800 HUNTERS RD 808 HUNTERSVILLE NC 28078800 HUNTERS RD 805 HUNTERSVILLE NC 28078800 HUNTERS RD 804 HUNTERSVILLE NC 28078800 HUNTERS RD 802 HUNTERSVILLE NC 28078800 HUNTERS RD 801 HUNTERSVILLE NC 28078800 HUNTERS RD 806 HUNTERSVILLE NC 28078800 HUNTERS RD HUNTERSVILLE NC 28078100 HUNTERS RD 112 HUNTERSVILLE NC 28078100 HUNTERS RD 102 HUNTERSVILLE NC 28078100 HUNTERS RD 101 HUNTERSVILLE NC 28078100 HUNTERS RD 103 HUNTERSVILLE NC 28078100 HUNTERS RD 104 HUNTERSVILLE NC 28078100 HUNTERS RD 105 HUNTERSVILLE NC 28078100 HUNTERS RD 106 HUNTERSVILLE NC 28078100 HUNTERS RD 107 HUNTERSVILLE NC 28078100 HUNTERS RD 108 HUNTERSVILLE NC 28078100 HUNTERS RD 109 HUNTERSVILLE NC 28078100 HUNTERS RD 110 HUNTERSVILLE NC 28078100 HUNTERS RD 111 HUNTERSVILLE NC 28078600 HUNTERS RD HUNTERSVILLE NC 28078700 HUNTERS RD HUNTERSVILLE NC 28078200 HUNTERS RD HUNTERSVILLE NC 28078300 HUNTERS RD HUNTERSVILLE NC 28078900 HUNTERS RD HUNTERSVILLE NC 28078900 HUNTERS RD 903 HUNTERSVILLE NC 28078900 HUNTERS RD 904 HUNTERSVILLE NC 28078900 HUNTERS RD 907 HUNTERSVILLE NC 28078900 HUNTERS RD 908 HUNTERSVILLE NC 28078900 HUNTERS RD 906 HUNTERSVILLE NC 28078900 HUNTERS RD 905 HUNTERSVILLE NC 28078900 HUNTERS RD 910 HUNTERSVILLE NC 28078900 HUNTERS RD 909 HUNTERSVILLE NC 280781400 HUNTERS RD 1411 HUNTERSVILLE NC 280781400 HUNTERS RD 1401 HUNTERSVILLE NC 280781400 HUNTERS RD 1402 HUNTERSVILLE NC 280781400 HUNTERS RD 1403 HUNTERSVILLE NC 280781400 HUNTERS RD 1404 HUNTERSVILLE NC 280781400 HUNTERS RD 1405 HUNTERSVILLE NC 280781400 HUNTERS RD 1406 HUNTERSVILLE NC 280781400 HUNTERS RD 1407 HUNTERSVILLE NC 280781400 HUNTERS RD 1408 HUNTERSVILLE NC 280781400 HUNTERS RD 1409 HUNTERSVILLE NC 280781400 HUNTERS RD 1412 HUNTERSVILLE NC 280781400 HUNTERS RD 1413 HUNTERSVILLE NC 280781400 HUNTERS RD 1414 HUNTERSVILLE NC 280781400 HUNTERS RD 1410 HUNTERSVILLE NC 28078
N/A,N/A,100 HUNTERSVILLE-CONCORD RD HUNTERSVILLE NC 28078
L16 B1 M16-49,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00160049&Close=True,100 HUNTSMOOR DR CHARLOTTE NC 28217
L23 B1 M22-745,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00220745&Close=True,100 INTERLAKEN PL HUNTERSVILLE NC 28078
L7 M21-563,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210563&Close=True,100 JAMES DREW CT CHARLOTTE NC 28270
L2 &P3 BB M9-271,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00090271&Close=True,100 JOYCE AV HUNTERSVILLE NC 28078
L54 M7-575,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00070575&Close=True,100 KENMORE DR PINEVILLE NC 28134
M3-636,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00030636&Close=True,100 LANIER LN PINEVILLE NC 28134
P3 B18 M9-77,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00090077&Close=True,100 LANSDOWNE RD CHARLOTTE NC 28270
N/A,N/A,Failed to retrieve address
P24-29 &P32-37 M5-83,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00050083&Close=True,100 LEE DR HUNTERSVILLE NC 28078
L1 B3 M22-1,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00220001&Close=True,100 LINVILLE DR MATTHEWS NC 28105
L184 M27-353,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=27&pg=353&type=BkPg,100 LONG CREEK PY CHARLOTTE NC 28214
P2 &3 M2095-503,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Deed&Instrument=20950503&Close=True,100 LUTOMMA CR CHARLOTTE NC 28270
N/A,N/A,100 S POLK ST PINEVILLE NC 28134
L1 M21-165,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210165&Close=True,100 MALLARD DR PINEVILLE NC 28134
N/A,N/A,Failed to retrieve address
L 56 M7 575 HL MARINE DR,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00070575&Close=True,100 MARINE DR PINEVILLE NC 28134
L115 M26-407,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=26&pg=407&type=BkPg,100 MARTIN ST DAVIDSON NC 28036
